Imagen,Hilos,Kernel,Tiempo
720p.png,1,3,0.233
720p.png,1,5,0.082
720p.png,1,7,0.102
720p.png,1,9,0.103
720p.png,1,11,0.115
720p.png,1,13,0.078
720p.png,1,15,0.083
720p.png,2,3,0.082
720p.png,2,5,0.076
720p.png,2,7,0.098
720p.png,2,9,0.092
720p.png,2,11,0.102
720p.png,2,13,0.077
720p.png,2,15,0.076
720p.png,4,3,0.079
720p.png,4,5,0.076
720p.png,4,7,0.091
720p.png,4,9,0.090
720p.png,4,11,0.102
720p.png,4,13,0.074
720p.png,4,15,0.086
720p.png,8,3,0.100
720p.png,8,5,0.087
720p.png,8,7,0.108
720p.png,8,9,0.106
720p.png,8,11,0.114
720p.png,8,13,0.086
720p.png,8,15,0.093
720p.png,16,3,0.137
720p.png,16,5,0.111
720p.png,16,7,0.133
720p.png,16,9,0.135
720p.png,16,11,0.142
720p.png,16,13,0.119
720p.png,16,15,0.120
1080p.png,1,3,0.159
1080p.png,1,5,0.157
1080p.png,1,7,0.167
1080p.png,1,9,0.152
1080p.png,1,11,0.152
1080p.png,1,13,0.156
1080p.png,1,15,0.155
1080p.png,2,3,0.142
1080p.png,2,5,0.138
1080p.png,2,7,0.130
1080p.png,2,9,0.133
1080p.png,2,11,0.131
1080p.png,2,13,0.137
1080p.png,2,15,0.146
1080p.png,4,3,0.150
1080p.png,4,5,0.141
1080p.png,4,7,0.147
1080p.png,4,9,0.144
1080p.png,4,11,0.150
1080p.png,4,13,0.128
1080p.png,4,15,0.140
1080p.png,8,3,0.175
1080p.png,8,5,0.175
1080p.png,8,7,0.173
1080p.png,8,9,0.173
1080p.png,8,11,0.173
1080p.png,8,13,0.165
1080p.png,8,15,0.167
1080p.png,16,3,0.227
1080p.png,16,5,0.227
1080p.png,16,7,0.218
1080p.png,16,9,0.221
1080p.png,16,11,0.228
1080p.png,16,13,0.223
1080p.png,16,15,0.225
4k.png,1,3,1.540
4k.png,1,5,1.609
4k.png,1,7,1.532
4k.png,1,9,1.590
4k.png,1,11,1.549
4k.png,1,13,1.514
4k.png,1,15,1.575
4k.png,2,3,1.309
4k.png,2,5,1.356
4k.png,2,7,1.335
4k.png,2,9,1.357
4k.png,2,11,1.306
4k.png,2,13,1.354
4k.png,2,15,1.322
4k.png,4,3,1.362
4k.png,4,5,1.285
4k.png,4,7,1.314
4k.png,4,9,1.272
4k.png,4,11,1.307
4k.png,4,13,1.243
4k.png,4,15,1.248
4k.png,8,3,1.696
4k.png,8,5,1.687
4k.png,8,7,1.719
4k.png,8,9,1.641
4k.png,8,11,1.728
4k.png,8,13,1.752
4k.png,8,15,1.694
4k.png,16,3,2.255
4k.png,16,5,2.227
4k.png,16,7,2.260
4k.png,16,9,2.257
4k.png,16,11,2.236
4k.png,16,13,2.326
4k.png,16,15,2.347
